date,close,volume,open,high,low
2017/9/12,74.68,14387100,74.76,75.24,74.37
2017/9/11,74.76,17900360,74.31,74.945,74.31
2017/9/8,73.98,14703700,74.33,74.44,73.84
2017/9/7,74.34,17468290,73.68,74.6,73.6
2017/9/6,73.4,16525320,73.74,74.04,73.35
2017/9/5,73.61,22234340,73.34,73.89,72.98
2017/9/1,73.94,21713620,74.71,74.74,73.64
2017/8/31,74.77,27645380,74.03,74.96,73.8
2017/8/30,74.01,16892790,73.01,74.2099,72.8293
2017/8/29,73.05,11470410,72.25,73.16,72.05
2017/8/28,72.83,14558700,73.06,73.09,72.55
2017/8/25,72.82,12790300,72.86,73.35,72.48
2017/8/24,72.69,17097240,72.74,72.86,72.07
2017/8/23,72.72,13758650,72.96,73.15,72.53
2017/8/22,73.16,14333220,72.35,73.24,72.35
2017/8/21,72.15,17698800,72.47,72.48,71.7
2017/8/18,72.49,18760830,72.27,72.84,71.93
2017/8/17,72.4,22450130,73.58,73.87,72.4
2017/8/16,73.65,18146300,73.34,74.1,73.17
2017/8/15,73.22,19174140,73.59,73.59,73.04
2017/8/14,73.59,20079920,73.06,73.72,72.95
2017/8/11,72.5,21429130,71.61,72.7,71.28
2017/8/10,71.41,23882090,71.9,72.19,71.35
2017/8/9,72.47,22208930,72.25,72.51,72.05
2017/8/8,72.79,22029970,72.09,73.13,71.75
2017/8/7,72.4,18703680,72.8,72.9,72.26
2017/8/4,72.68,22578340,72.4,73.04,72.24
2017/8/3,72.15,18203460,72.19,72.44,71.845
2017/8/2,72.26,26487360,72.55,72.56,71.445
2017/8/1,72.58,20755590,73.1,73.42,72.49
2017/7/31,72.7,23546300,73.3,73.44,72.41
2017/7/28,73.04,17800810,72.67,73.31,72.54
2017/7/27,73.16,35803280,73.76,74.42,72.32
2017/7/26,74.05,16074960,74.34,74.38,73.81
2017/7/25,74.19,21934340,73.8,74.31,73.5
2017/7/24,73.6,21227590,73.53,73.75,73.13
2017/7/21,73.79,46301020,73.45,74.29,73.17
2017/7/20,74.22,39459200,74.18,74.3,73.28
2017/7/19,73.86,22071360,73.5,74.04,73.45
2017/7/18,73.3,26356400,73.09,73.39,72.66
2017/7/17,73.35,21776670,72.8,73.45,72.72
2017/7/14,72.78,25780260,72.24,73.27,71.96
2017/7/13,71.77,20267570,71.5,72.0399,71.31
2017/7/12,71.15,17747470,70.69,71.28,70.55
2017/7/11,69.99,17459190,70,70.68,69.75
2017/7/10,69.98,15006190,69.46,70.25,69.2
2017/7/7,69.46,15910410,68.7,69.84,68.7
2017/7/6,68.57,21108330,68.27,68.78,68.12
2017/7/5,69.08,21164570,68.255,69.44,68.22
2017/7/3,68.17,16165540,69.33,69.6,68.02
2017/6/30,68.93,24094240,68.78,69.38,68.74
2017/6/29,68.49,28898600,69.38,69.49,68.09
2017/6/28,69.8,25802760,69.21,69.841,68.79
2017/6/27,69.21,25214000,70.11,70.18,69.18
2017/6/26,70.53,19508480,71.4,71.71,70.445
2017/6/23,71.21,27071300,70.09,71.25,69.92
2017/6/22,70.26,22602120,70.54,70.59,69.71
2017/6/21,70.27,19681370,70.21,70.62,69.94
2017/6/20,69.91,21509280,70.82,70.87,69.87
2017/6/19,70.87,23309860,70.5,70.945,70.35
2017/6/16,70,48278130,69.73,70.0252,69.22
2017/6/15,69.9,26006180,69.27,70.21,68.8
2017/6/14,70.27,25483760,70.91,71.1,69.43
2017/6/13,70.65,25254650,70.02,70.82,69.96
2017/6/12,69.78,47720550,69.25,69.94,68.13
2017/6/9,70.32,49143030,72.035,72.08,68.59
2017/6/8,71.95,24460980,72.51,72.52,71.5
2017/6/7,72.39,22282420,72.635,72.77,71.95
2017/6/6,72.52,31506590,72.3,72.62,72.27
2017/6/5,72.28,33303010,71.97,72.89,71.81
2017/6/2,71.76,34637860,70.44,71.86,70.24
2017/6/1,70.1,21538070,70.24,70.61,69.451
2017/5/31,69.84,30445790,70.53,70.74,69.81
2017/5/30,70.41,17057170,69.79,70.41,69.77
2017/5/26,69.96,19716360,69.8,70.22,69.52
2017/5/25,69.62,21838800,68.97,69.88,68.91
2017/5/24,68.77,14665710,68.87,68.88,68.45
2017/5/23,68.68,15423430,68.72,68.75,68.38
2017/5/22,68.45,16216010,67.89,68.5,67.5
2017/5/19,67.69,26905730,67.5,68.095,67.43
2017/5/18,67.71,25184940,67.4,68.13,67.14
2017/5/17,67.48,30494870,68.89,69.1,67.43
2017/5/16,69.41,34936100,68.23,69.44,68.16
2017/5/15,68.43,30954130,68.14,68.48,67.57
2017/5/12,68.38,18700160,68.61,68.61,68.04
2017/5/11,68.46,28771250,68.36,68.73,68.12
2017/5/10,69.31,17934310,68.99,69.56,68.92
